userid,propertyid,rating_(1-5),area_type,location,bedrooms,total_sqft,bath,balcony,price
644,P3147,4,Carpet Area,Hebbal,2,892.0,2,1,5507000
224,P1413,2,Plot Area,Kaggadasapura,3,2019.0,3,1,20742000
847,P1202,4,Super built-up Area,KR Puram,2,1299.0,2,1,13325000
258,P3253,5,Plot Area,Jayanagar,2,907.0,2,2,8363000
986,P2068,2,Super built-up Area,Whitefield,2,1265.0,2,1,6371000
650,P1440,2,Carpet Area,Marathahalli,4,2466.0,4,1,22243000
265,P1618,5,Built-up Area,KR Puram,3,1837.0,3,1,19571000
193,P2303,4,Super built-up Area,Jayanagar,2,1051.0,2,2,9479000
401,P3372,3,Built-up Area,Kaggadasapura,2,1353.0,2,0,14570000
335,P3087,2,Carpet Area,Banashankari,5,4319.0,4,1,28032000
157,P3091,2,Super built-up Area,Marathahalli,3,1564.0,3,1,15056000
174,P1121,1,Built-up Area,Jayanagar,2,1362.0,2,1,12606000
849,P2373,4,Built-up Area,Bellandur,3,1422.0,3,1,9298000
198,P3093,2,Plot Area,Malleshwaram,3,2087.0,3,1,10757000
504,P1294,4,Carpet Area,RT Nagar,4,2186.0,4,2,19302000
223,P1220,5,Carpet Area,Thanisandra,2,1119.0,2,2,8406000
220,P1827,2,Built-up Area,Kanakapura Road,1,808.0,1,0,6227000
448,P1966,4,Built-up Area,Devanahalli,2,1081.0,2,0,8554000
462,P1118,1,Carpet Area,Yelahanka,4,3287.0,4,2,29277000
989,P1372,3,Plot Area,Bellandur,4,2370.0,4,0,15984000
947,P3271,4,Built-up Area,Jayanagar,1,504.0,1,2,5785000
312,P1847,2,Carpet Area,BTM Layout,2,1068.0,2,1,8705000
399,P2380,5,Super built-up Area,Bannerghatta Road,2,1386.0,2,2,12806000
177,P2638,4,Carpet Area,BTM Layout,5,2771.0,5,2,22108000
761,P3382,2,Super built-up Area,Kanakapura Road,4,2574.0,4,1,16375000
833,P2922,3,Built-up Area,Thanisandra,2,962.0,2,2,7804000
216,P1971,4,Super built-up Area,BTM Layout,2,1262.0,2,0,9952000
1091,P3261,2,Plot Area,Sarjapur Road,3,2040.0,3,1,13191000
444,P1084,4,Carpet Area,Ramamurthy Nagar,2,1216.0,2,0,13128000
695,P1098,3,Plot Area,RT Nagar,3,2080.0,3,2,19622000
791,P2870,2,Plot Area,Sarjapur Road,1,532.0,1,1,3766000
832,P2071,5,Plot Area,Frazer Town,5,3193.0,4,1,20777000
650,P1098,3,Plot Area,RT Nagar,3,2080.0,3,2,19622000
630,P1416,3,Carpet Area,Sarjapur Road,1,634.0,1,2,5004000
689,P2308,2,Built-up Area,Sarjapur Road,3,1337.0,3,2,8960000
421,P1660,4,Carpet Area,KR Puram,2,1262.0,2,1,13263000
796,P2017,4,Built-up Area,Marathahalli,5,2631.0,4,1,23184000
367,P2640,2,Plot Area,Rajaji Nagar,2,947.0,2,1,10489000
846,P3284,5,Carpet Area,KR Puram,3,1761.0,3,1,18628000
618,P3309,4,Super built-up Area,Banashankari,2,1235.0,2,1,8537000
959,P3112,2,Built-up Area,Jayanagar,2,1122.0,2,1,11304000
489,P2501,4,Carpet Area,Kanakapura Road,2,982.0,2,2,6631000
905,P1585,3,Super built-up Area,Electronic City,2,1056.0,2,2,8801000
239,P1297,4,Super built-up Area,Whitefield,3,1775.0,3,2,9554000
823,P2818,2,Built-up Area,Kanakapura Road,3,1463.0,3,3,9698000
729,P2413,4,Super built-up Area,Hebbal,2,1391.0,2,1,7453000
253,P3235,3,Carpet Area,Frazer Town,3,1314.0,3,2,9057000
255,P2081,4,Built-up Area,Devanahalli,2,929.0,2,1,7370000
914,P1724,2,Super built-up Area,Malleshwaram,2,1215.0,2,2,7015000
1013,P2606,3,Built-up Area,Kaggadasapura,2,1344.0,2,2,14461000
640,P1892,2,Carpet Area,Jayanagar,3,1928.0,3,2,17859000
351,P2905,3,Plot Area,Bannerghatta Road,3,2167.0,3,1,19744000
303,P2378,3,Plot Area,Hebbal,2,981.0,2,3,5078000
656,P1382,3,Carpet Area,Bellandur,2,1311.0,2,2,8664000
561,P3330,4,Built-up Area,BTM Layout,2,1204.0,2,2,10506000
788,P3104,5,Plot Area,Ramamurthy Nagar,2,1151.0,2,2,11603000
993,P3382,5,Super built-up Area,Kanakapura Road,4,2574.0,4,1,16375000
378,P1968,4,Built-up Area,Rajaji Nagar,2,1110.0,2,1,12530000
633,P2772,4,Built-up Area,Frazer Town,2,959.0,2,2,6454000
313,P2233,4,Built-up Area,Kaggadasapura,2,1193.0,2,1,12677000
992,P2679,3,Plot Area,Bellandur,2,1311.0,2,1,9021000
1080,P1632,5,Super built-up Area,Yeshwantpur,3,1937.0,3,2,9984000
996,P2661,1,Built-up Area,Malleshwaram,2,946.0,2,1,4777000
1016,P1036,4,Carpet Area,Devanahalli,3,1509.0,3,1,11337000
921,P2619,4,Carpet Area,Bellandur,4,2548.0,4,1,16954000
997,P1311,4,Carpet Area,Sarjapur Road,2,1392.0,2,1,9788000
452,P1124,4,Carpet Area,Koramangala,2,1341.0,2,2,7255000
757,P2095,5,Carpet Area,Malleshwaram,4,3446.0,3,1,17741000
959,P2381,4,Plot Area,Yelahanka,2,1226.0,2,2,11711000
692,P2880,4,Built-up Area,Jayanagar,2,1316.0,2,1,12166000
395,P2010,1,Carpet Area,RT Nagar,3,1834.0,3,1,16852000
709,P2773,4,Carpet Area,Thanisandra,3,1776.0,3,2,13759000
722,P2526,5,Plot Area,Thanisandra,2,1276.0,2,0,10966000
914,P2533,3,Plot Area,Indiranagar,1,577.0,1,1,5182000
472,P3312,2,Plot Area,RT Nagar,1,439.0,1,2,4727000
839,P2774,3,Plot Area,Kaggadasapura,3,1512.0,3,2,16377000
967,P2631,3,Built-up Area,Kaggadasapura,1,752.0,1,1,8564000
260,P1548,3,Carpet Area,Bannerghatta Road,2,943.0,2,2,9577000
1005,P1360,3,Carpet Area,Bannerghatta Road,3,1672.0,3,2,15943000
102,P2499,4,Plot Area,Ramamurthy Nagar,2,1348.0,2,0,14449000
826,P2786,1,Super built-up Area,Indiranagar,2,1270.0,2,3,10655000
279,P2390,2,Plot Area,Devanahalli,2,1278.0,2,1,9588000
578,P2752,5,Carpet Area,BTM Layout,2,1382.0,2,1,11734000
814,P2285,2,Carpet Area,Marathahalli,2,1199.0,2,2,11396000
108,P1513,4,Built-up Area,Banashankari,3,2016.0,3,2,12843000
949,P2894,2,Carpet Area,Ramamurthy Nagar,2,855.0,2,0,8801000
326,P1428,5,Built-up Area,Jayanagar,5,3713.0,4,1,33036000
607,P3120,3,Plot Area,Ramamurthy Nagar,2,1288.0,2,2,13771000
216,P1765,5,Carpet Area,Kanakapura Road,3,1821.0,3,2,12127000
510,P3426,4,Built-up Area,Yelahanka,3,1910.0,3,2,17571000
226,P3121,2,Plot Area,Kaggadasapura,3,1951.0,3,2,20970000
110,P2719,4,Built-up Area,Marathahalli,1,631.0,1,2,6303000
774,P3319,1,Super built-up Area,Sarjapur Road,2,1397.0,2,1,9911000
430,P1373,4,Carpet Area,Marathahalli,2,1338.0,2,0,12119000
902,P3101,3,Plot Area,Bannerghatta Road,2,1134.0,2,2,10133000
115,P2598,4,Plot Area,Rajaji Nagar,1,606.0,1,1,6373000
754,P2004,5,Plot Area,RT Nagar,3,1884.0,3,2,17476000
888,P2212,4,Carpet Area,Banashankari,5,2971.0,6,1,19742000
243,P2568,4,Plot Area,KR Puram,1,850.0,1,2,9982000
140,P1626,3,Built-up Area,Frazer Town,2,1275.0,2,1,8199000
468,P3375,4,Plot Area,Sarjapur Road,3,1603.0,3,1,10785000
140,P2111,4,Super built-up Area,Bellandur,4,2316.0,3,1,15929000
921,P1658,3,Super built-up Area,Bellandur,5,3219.0,6,0,20665000
123,P1053,3,Built-up Area,RT Nagar,2,975.0,2,3,8716000
965,P3128,5,Carpet Area,Thanisandra,1,704.0,1,2,6586000
824,P1424,2,Super built-up Area,Frazer Town,1,606.0,1,1,5031000
1075,P3261,3,Plot Area,Sarjapur Road,3,2040.0,3,1,13191000
879,P2143,3,Super built-up Area,RT Nagar,3,1916.0,3,2,17372000
467,P2917,5,Carpet Area,KR Puram,3,1714.0,3,2,17401000
1053,P2116,4,Carpet Area,Yelahanka,2,1123.0,2,3,10280000
586,P1098,2,Plot Area,RT Nagar,3,2080.0,3,2,19622000
794,P2381,5,Plot Area,Yelahanka,2,1226.0,2,2,11711000
761,P2296,4,Super built-up Area,Ramamurthy Nagar,3,2114.0,3,0,22253000
238,P2731,4,Carpet Area,Electronic City,3,2171.0,3,1,16891000
113,P2354,1,Built-up Area,Hebbal,3,1710.0,3,2,9583000
863,P1659,4,Super built-up Area,Yeshwantpur,2,1289.0,2,1,7663000
524,P3014,5,Plot Area,RT Nagar,3,2068.0,3,2,19347000
666,P1101,3,Built-up Area,Yeshwantpur,1,737.0,1,1,4576000
772,P3267,3,Super built-up Area,BTM Layout,3,1413.0,3,1,10921000
746,P3046,2,Plot Area,HSR Layout,4,3318.0,3,1,34245000
519,P2488,3,Built-up Area,Yeshwantpur,3,1720.0,3,1,9953000
388,P1771,4,Built-up Area,Kanakapura Road,3,2176.0,3,2,15098000
317,P2914,3,Built-up Area,Bannerghatta Road,2,1045.0,2,2,9457000
250,P3390,5,Built-up Area,Banashankari,2,1207.0,2,2,8974000
404,P3093,2,Plot Area,Malleshwaram,3,2087.0,3,1,10757000
969,P3250,3,Super built-up Area,Marathahalli,2,887.0,2,1,8047000
907,P2108,4,Super built-up Area,Rajaji Nagar,3,1348.0,3,2,14159000
383,P2972,5,Built-up Area,Bellandur,2,998.0,2,1,7299000
957,P3387,3,Plot Area,Devanahalli,1,483.0,1,2,4869000
206,P3365,4,Super built-up Area,Bannerghatta Road,2,997.0,2,1,8928000
724,P2769,2,Plot Area,Jayanagar,2,1212.0,2,2,10763000
1046,P3312,4,Plot Area,RT Nagar,1,439.0,1,2,4727000
1009,P2336,4,Super built-up Area,Koramangala,2,1302.0,2,2,6528000
485,P3374,5,Plot Area,Whitefield,3,2021.0,3,1,11173000
933,P1177,5,Plot Area,Kaggadasapura,3,1655.0,3,1,16913000
940,P3418,4,Carpet Area,BTM Layout,2,1316.0,2,0,10691000
1031,P1985,3,Carpet Area,Indiranagar,1,743.0,1,1,6194000
770,P3046,2,Plot Area,HSR Layout,4,3318.0,3,1,34245000
801,P3074,4,Super built-up Area,Hebbal,2,1072.0,2,1,5775000
202,P2816,3,Built-up Area,Sarjapur Road,2,1148.0,2,1,8163000
957,P1132,4,Plot Area,Bannerghatta Road,2,865.0,2,1,7856000
843,P1642,3,Carpet Area,KR Puram,3,1913.0,3,2,20520000
105,P1121,5,Built-up Area,Jayanagar,2,1362.0,2,1,12606000
440,P2630,4,Super built-up Area,HSR Layout,3,1423.0,3,1,14319000
566,P2481,2,Carpet Area,Kaggadasapura,3,1763.0,3,1,18130000
569,P3473,4,Super built-up Area,Kanakapura Road,4,1816.0,4,1,12394000
1071,P2543,4,Carpet Area,Bellandur,4,3079.0,4,2,20637000
412,P3314,3,Super built-up Area,Hebbal,2,1044.0,2,1,6402000
516,P1583,3,Super built-up Area,BTM Layout,1,830.0,1,2,7723000
360,P1455,3,Super built-up Area,Kanakapura Road,3,2142.0,3,2,13509000
663,P2908,5,Carpet Area,Banashankari,3,1843.0,3,2,12749000
449,P1188,2,Plot Area,Jayanagar,4,1838.0,4,1,16370000
881,P2262,4,Built-up Area,Kaggadasapura,1,771.0,1,0,8912000
788,P2956,5,Plot Area,Banashankari,1,444.0,1,1,3722000
328,P2967,5,Super built-up Area,Banashankari,3,1759.0,3,2,12014000
722,P2411,4,Carpet Area,Bannerghatta Road,1,678.0,1,1,7433000
640,P2317,3,Built-up Area,Yeshwantpur,5,3777.0,5,2,19882000
426,P2201,4,Plot Area,Devanahalli,2,979.0,2,2,7651000
544,P2326,3,Plot Area,Indiranagar,3,1991.0,3,1,16116000
576,P2289,4,Carpet Area,Marathahalli,3,1543.0,3,1,13527000
1045,P3057,1,Built-up Area,Yelahanka,4,3387.0,3,2,30836000
299,P1902,2,Carpet Area,Indiranagar,4,2632.0,4,1,20492000
702,P1431,4,Super built-up Area,Jayanagar,2,901.0,2,2,8840000
264,P2482,3,Carpet Area,Bannerghatta Road,2,1095.0,2,1,10330000
877,P2628,4,Super built-up Area,Bannerghatta Road,2,975.0,2,1,8984000
282,P2895,2,Super built-up Area,Thanisandra,2,1011.0,2,1,7861000
780,P1754,5,Plot Area,Jayanagar,2,965.0,2,1,9742000
497,P1158,4,Plot Area,Frazer Town,3,1500.0,3,1,9970000
698,P2344,3,Super built-up Area,KR Puram,2,907.0,2,1,10085000
181,P2705,4,Super built-up Area,Thanisandra,2,1297.0,2,2,10332000
686,P1389,5,Plot Area,Kanakapura Road,2,1392.0,2,2,9133000
534,P2316,4,Super built-up Area,Whitefield,4,3396.0,3,2,18320000
871,P2285,3,Carpet Area,Marathahalli,2,1199.0,2,2,11396000
174,P1135,3,Carpet Area,Marathahalli,4,2467.0,4,2,22970000
330,P1180,3,Super built-up Area,Yelahanka,3,1822.0,3,1,16436000
492,P2667,2,Built-up Area,Indiranagar,3,1352.0,3,1,10877000
739,P1639,5,Plot Area,Bellandur,3,1666.0,3,1,11347000
542,P3224,5,Super built-up Area,Electronic City,3,1711.0,3,1,13515000
622,P3352,3,Built-up Area,RT Nagar,2,1323.0,2,1,12351000
1055,P2040,4,Built-up Area,BTM Layout,3,1975.0,3,2,16102000
790,P1555,2,Carpet Area,Indiranagar,2,1343.0,2,1,10654000
683,P2578,5,Super built-up Area,Malleshwaram,2,1374.0,2,2,7019000
719,P3323,4,Built-up Area,Kaggadasapura,2,894.0,2,1,10356000
523,P2371,4,Super built-up Area,Devanahalli,2,1180.0,2,1,9131000
485,P1835,5,Super built-up Area,BTM Layout,3,1984.0,3,1,16139000
167,P3416,5,Carpet Area,Kanakapura Road,2,923.0,2,0,6829000
857,P1481,4,Super built-up Area,Malleshwaram,3,2154.0,3,3,12208000
398,P3380,4,Built-up Area,Kaggadasapura,3,1387.0,3,2,14577000
544,P3272,3,Super built-up Area,Jayanagar,2,913.0,2,2,9070000
305,P2222,4,Plot Area,Bannerghatta Road,5,4244.0,4,2,38490000
122,P2669,4,Carpet Area,Rajaji Nagar,3,1324.0,3,0,14646000
975,P1760,4,Plot Area,Electronic City,3,1413.0,3,0,11299000
856,P1046,4,Plot Area,Frazer Town,3,1979.0,3,2,12507000
381,P1767,3,Super built-up Area,Indiranagar,3,2191.0,3,3,17547000
789,P3015,2,Super built-up Area,Jayanagar,2,1182.0,2,2,10824000
1002,P1897,3,Built-up Area,Bannerghatta Road,2,1284.0,2,1,11590000
233,P1858,4,Carpet Area,HSR Layout,3,2045.0,3,0,21854000
680,P3473,2,Super built-up Area,Kanakapura Road,4,1816.0,4,1,12394000
875,P2825,4,Built-up Area,Thanisandra,2,1016.0,2,1,8862000
388,P3179,4,Super built-up Area,Ramamurthy Nagar,2,1332.0,2,2,14792000
668,P2513,2,Super built-up Area,HSR Layout,2,1111.0,2,2,12399000
990,P2767,3,Built-up Area,Thanisandra,3,1696.0,3,1,14032000
172,P3341,4,Carpet Area,Devanahalli,2,1281.0,2,2,10571000
831,P1042,4,Plot Area,Sarjapur Road,1,415.0,1,2,4072000
469,P2706,3,Plot Area,Yeshwantpur,4,2768.0,4,1,14609000
570,P3010,3,Carpet Area,Kanakapura Road,2,1186.0,2,0,7554000
826,P1677,5,Super built-up Area,Frazer Town,2,1022.0,2,1,7208000
849,P3281,3,Super built-up Area,Ramamurthy Nagar,4,3300.0,4,1,33530000
359,P3464,4,Carpet Area,Thanisandra,1,477.0,1,0,4317000
138,P1169,3,Carpet Area,Yeshwantpur,1,472.0,1,2,3258000
934,P1485,5,Carpet Area,Marathahalli,2,1297.0,2,1,11988000
573,P1905,3,Plot Area,Yelahanka,2,888.0,2,1,8213000
425,P2023,4,Super built-up Area,RT Nagar,3,2183.0,3,1,20381000
191,P1785,4,Super built-up Area,Sarjapur Road,2,1113.0,2,3,7191000
285,P1692,4,Super built-up Area,Bellandur,1,470.0,1,2,3581000
513,P1078,4,Plot Area,Thanisandra,3,1549.0,3,2,12941000
328,P1623,4,Plot Area,Thanisandra,2,1046.0,2,2,8708000
801,P3431,5,Carpet Area,Whitefield,4,2372.0,4,1,12006000
1060,P1373,2,Carpet Area,Marathahalli,2,1338.0,2,0,12119000
141,P2741,4,Plot Area,Frazer Town,3,1788.0,3,1,12344000
955,P2788,2,Carpet Area,Indiranagar,2,1358.0,2,1,11180000
400,P2075,5,Plot Area,Rajaji Nagar,4,2527.0,3,2,26215000
955,P2396,5,Super built-up Area,Malleshwaram,1,445.0,1,0,3594000
516,P2707,1,Built-up Area,HSR Layout,3,1619.0,3,1,16637000
841,P2347,5,Built-up Area,Jayanagar,3,1896.0,3,3,16607000
644,P3182,3,Carpet Area,Ramamurthy Nagar,5,2949.0,6,2,29670000
829,P1248,5,Carpet Area,Kaggadasapura,2,1067.0,2,2,11827000
803,P2429,4,Built-up Area,Rajaji Nagar,4,2620.0,3,1,26715000
762,P2543,3,Carpet Area,Bellandur,4,3079.0,4,2,20637000
292,P1537,4,Super built-up Area,Whitefield,2,1041.0,2,2,5322000
276,P2535,3,Carpet Area,Marathahalli,1,591.0,1,1,6163000
1036,P1077,3,Carpet Area,Malleshwaram,1,490.0,1,1,2693000
782,P3314,3,Super built-up Area,Hebbal,2,1044.0,2,1,6402000
1042,P2559,5,Plot Area,Kanakapura Road,2,1254.0,2,1,8359000
450,P1808,5,Built-up Area,Devanahalli,2,1376.0,2,1,11100000
481,P2279,4,Super built-up Area,Devanahalli,5,3761.0,6,1,29652000
597,P2691,4,Super built-up Area,Thanisandra,5,5171.0,5,3,40030000
220,P2863,4,Plot Area,Ramamurthy Nagar,3,1324.0,3,1,14173000
854,P1587,2,Carpet Area,Indiranagar,4,2000.0,3,1,15371000
368,P3340,2,Carpet Area,Frazer Town,1,593.0,1,2,4601000
663,P2174,5,Plot Area,Ramamurthy Nagar,3,1886.0,3,2,19444000
752,P2643,4,Built-up Area,HSR Layout,1,702.0,1,1,8300000
1034,P2189,4,Super built-up Area,Yelahanka,2,1080.0,2,2,10805000
444,P2417,5,Built-up Area,Sarjapur Road,2,1111.0,2,2,7571000
632,P2481,1,Carpet Area,Kaggadasapura,3,1763.0,3,1,18130000
1080,P2013,1,Carpet Area,Kanakapura Road,1,501.0,1,2,3336000
442,P3411,3,Built-up Area,Indiranagar,3,2052.0,3,1,16714000
107,P1816,4,Built-up Area,Marathahalli,3,1562.0,3,2,15100000
290,P1043,4,Super built-up Area,Thanisandra,1,636.0,1,2,5366000
934,P1664,2,Plot Area,KR Puram,3,1706.0,3,0,18298000
966,P3095,5,Plot Area,Malleshwaram,1,559.0,1,2,3188000
400,P2757,3,Plot Area,Bellandur,2,1065.0,2,2,8019000
140,P1726,4,Carpet Area,Jayanagar,2,1072.0,2,2,10118000
114,P3170,3,Super built-up Area,Bannerghatta Road,2,1013.0,2,2,9317000
533,P1350,3,Built-up Area,HSR Layout,3,1332.0,3,2,13609000
921,P3076,5,Plot Area,Thanisandra,2,919.0,2,1,7212000
289,P1768,3,Plot Area,Koramangala,3,1347.0,3,2,7166000
289,P2417,5,Built-up Area,Sarjapur Road,2,1111.0,2,2,7571000
1066,P1197,4,Carpet Area,Ramamurthy Nagar,2,938.0,2,1,10234000
728,P2962,5,Built-up Area,Indiranagar,2,1342.0,2,1,10751000
261,P2953,3,Super built-up Area,Whitefield,3,1993.0,3,2,11304000
370,P1243,5,Carpet Area,Marathahalli,4,2481.0,3,2,21935000
273,P2590,3,Built-up Area,Hebbal,2,850.0,2,2,4760000
392,P1985,5,Carpet Area,Indiranagar,1,743.0,1,1,6194000
991,P1609,1,Carpet Area,Banashankari,3,1508.0,3,2,9560000
207,P1622,3,Carpet Area,Marathahalli,2,1395.0,2,2,12810000
642,P1535,4,Carpet Area,Malleshwaram,3,1876.0,3,2,10755000
367,P1699,4,Super built-up Area,Electronic City,3,1335.0,3,2,11364000
569,P3010,4,Carpet Area,Kanakapura Road,2,1186.0,2,0,7554000
330,P3228,5,Super built-up Area,Koramangala,2,1398.0,2,0,7169000
123,P1444,5,Super built-up Area,Whitefield,2,1214.0,2,1,7383000
266,P1808,4,Built-up Area,Devanahalli,2,1376.0,2,1,11100000
1017,P1692,5,Super built-up Area,Bellandur,1,470.0,1,2,3581000
611,P2713,4,Built-up Area,Indiranagar,2,854.0,2,2,7845000
658,P2348,3,Super built-up Area,Malleshwaram,3,1849.0,3,1,10572000
302,P1366,5,Super built-up Area,Sarjapur Road,1,624.0,1,1,4528000
1036,P2068,4,Super built-up Area,Whitefield,2,1265.0,2,1,6371000
152,P1846,4,Super built-up Area,Devanahalli,2,877.0,2,1,7730000
179,P1390,4,Super built-up Area,Devanahalli,3,1410.0,3,1,11681000
542,P2694,3,Built-up Area,Frazer Town,2,1220.0,2,2,8171000
698,P1179,4,Built-up Area,Thanisandra,2,974.0,2,1,7595000
388,P2269,4,Carpet Area,Yelahanka,1,560.0,1,1,5488000
706,P1793,2,Super built-up Area,Jayanagar,2,882.0,2,1,8623000
370,P2710,3,Plot Area,Malleshwaram,2,1277.0,2,1,7794000
887,P2187,3,Built-up Area,Yelahanka,3,1939.0,3,2,18439000
177,P1953,1,Super built-up Area,Koramangala,4,1807.0,4,0,9448000
459,P1525,3,Carpet Area,Thanisandra,3,2157.0,3,1,16480000
672,P3001,4,Carpet Area,Indiranagar,2,932.0,2,0,7043000
255,P1050,2,Built-up Area,Whitefield,1,674.0,1,2,3667000
1098,P2446,4,Built-up Area,Bellandur,2,1320.0,2,3,8414000
642,P2056,3,Carpet Area,Bellandur,2,1258.0,2,0,8163000
298,P1359,3,Plot Area,Devanahalli,2,868.0,2,0,7126000
793,P2906,5,Carpet Area,Indiranagar,4,2139.0,4,1,17507000
535,P2846,4,Super built-up Area,Banashankari,1,516.0,1,2,3832000
780,P1483,3,Carpet Area,Frazer Town,2,1103.0,2,1,7364000
594,P1337,5,Built-up Area,BTM Layout,5,2965.0,4,1,22741000
711,P2045,3,Built-up Area,Bannerghatta Road,1,609.0,1,1,5889000
959,P1739,3,Built-up Area,Hebbal,1,617.0,1,2,4504000
175,P2406,4,Plot Area,Rajaji Nagar,3,2183.0,3,2,22240000
604,P3104,3,Plot Area,Ramamurthy Nagar,2,1151.0,2,2,11603000
786,P3223,4,Carpet Area,Jayanagar,3,1529.0,3,3,14393000
184,P1585,4,Super built-up Area,Electronic City,2,1056.0,2,2,8801000
834,P3124,3,Carpet Area,Yeshwantpur,3,1349.0,3,2,7410000
268,P3093,5,Plot Area,Malleshwaram,3,2087.0,3,1,10757000
467,P2456,4,Super built-up Area,BTM Layout,2,1276.0,2,2,10063000
667,P3125,2,Super built-up Area,Bannerghatta Road,2,1368.0,2,1,13055000
521,P1268,4,Super built-up Area,Electronic City,3,1826.0,3,2,14361000
258,P3386,2,Carpet Area,Kaggadasapura,2,1294.0,2,2,13054000
623,P1393,3,Super built-up Area,Whitefield,3,1304.0,3,1,7051000
189,P1027,3,Super built-up Area,Yeshwantpur,2,934.0,2,3,5150000
466,P3105,5,Plot Area,Malleshwaram,1,649.0,1,3,3557000
275,P2207,4,Built-up Area,Thanisandra,4,3451.0,4,2,27096000
391,P2439,5,Built-up Area,RT Nagar,2,932.0,2,2,9363000
834,P1698,3,Carpet Area,Bellandur,4,2317.0,4,1,14909000
274,P2780,4,Carpet Area,Frazer Town,2,910.0,2,3,6953000
384,P3090,3,Carpet Area,Malleshwaram,5,2617.0,4,0,14315000
907,P1612,3,Super built-up Area,Koramangala,2,1029.0,2,2,5825000
863,P1869,2,Built-up Area,Jayanagar,3,1780.0,3,1,15710000
1087,P2359,4,Carpet Area,BTM Layout,2,1067.0,2,1,8769000
581,P3157,5,Built-up Area,Bellandur,3,1687.0,3,3,10968000
961,P1907,5,Super built-up Area,Banashankari,3,1878.0,3,3,12163000
121,P2469,2,Super built-up Area,Thanisandra,1,654.0,1,2,6256000
505,P1361,5,Built-up Area,Rajaji Nagar,3,1830.0,3,1,19578000
559,P1424,4,Super built-up Area,Frazer Town,1,606.0,1,1,5031000
331,P2835,1,Built-up Area,Yelahanka,3,2132.0,3,2,19310000
186,P1633,3,Built-up Area,Thanisandra,2,1393.0,2,1,11819000
1023,P3277,3,Carpet Area,Banashankari,1,750.0,1,2,4880000
630,P3297,4,Plot Area,Banashankari,2,1018.0,2,1,7780000
507,P2933,5,Super built-up Area,Yelahanka,2,864.0,2,3,9033000
969,P1127,3,Super built-up Area,Indiranagar,2,1200.0,2,1,10214000
570,P3145,5,Super built-up Area,Whitefield,4,2286.0,3,0,12707000
332,P2909,4,Plot Area,Thanisandra,2,1164.0,2,2,8901000
353,P1246,3,Built-up Area,Yeshwantpur,1,828.0,1,2,4670000
440,P2904,4,Plot Area,BTM Layout,2,1276.0,2,2,9816000
211,P1663,3,Carpet Area,Banashankari,4,2663.0,3,3,17463000
158,P2967,2,Super built-up Area,Banashankari,3,1759.0,3,2,12014000
526,P2023,4,Super built-up Area,RT Nagar,3,2183.0,3,1,20381000
702,P1261,4,Carpet Area,HSR Layout,3,1934.0,3,2,20106000
453,P2390,4,Plot Area,Devanahalli,2,1278.0,2,1,9588000
937,P2186,5,Built-up Area,Marathahalli,2,853.0,2,2,8339000
950,P1593,4,Carpet Area,BTM Layout,3,1605.0,3,3,12068000
372,P1347,3,Plot Area,Jayanagar,2,1334.0,2,2,12470000
685,P1345,4,Carpet Area,Marathahalli,2,932.0,2,1,9069000
1017,P2531,4,Built-up Area,Kanakapura Road,1,603.0,1,2,4420000
151,P1886,4,Built-up Area,Ramamurthy Nagar,3,1449.0,3,0,15332000
809,P3179,3,Super built-up Area,Ramamurthy Nagar,2,1332.0,2,2,14792000
519,P1494,2,Super built-up Area,Yelahanka,3,1483.0,3,2,13240000
408,P2031,3,Carpet Area,Thanisandra,3,1855.0,3,1,14417000
802,P2739,4,Built-up Area,Thanisandra,2,1381.0,2,2,10903000
1067,P2908,4,Carpet Area,Banashankari,3,1843.0,3,2,12749000
655,P1786,4,Plot Area,Yelahanka,3,2012.0,3,2,18564000
568,P1657,1,Built-up Area,BTM Layout,4,2229.0,4,2,17028000
291,P3474,4,Carpet Area,KR Puram,5,3720.0,6,1,38518000
305,P1702,3,Built-up Area,Ramamurthy Nagar,4,2414.0,4,2,24420000
466,P1768,4,Plot Area,Koramangala,3,1347.0,3,2,7166000
943,P3429,4,Plot Area,Bannerghatta Road,3,1614.0,3,2,15314000
768,P2525,2,Carpet Area,Marathahalli,2,1019.0,2,1,9591000
584,P3065,4,Carpet Area,Frazer Town,2,1229.0,2,0,8991000
1032,P1255,2,Super built-up Area,Indiranagar,2,1267.0,2,0,10816000
1032,P2233,2,Built-up Area,Kaggadasapura,2,1193.0,2,1,12677000
311,P1371,4,Carpet Area,Ramamurthy Nagar,1,523.0,1,2,5975000
158,P2482,3,Carpet Area,Bannerghatta Road,2,1095.0,2,1,10330000
237,P3266,4,Built-up Area,Rajaji Nagar,3,1703.0,3,2,18380000
839,P2463,3,Super built-up Area,BTM Layout,2,1322.0,2,1,10965000
844,P1630,4,Plot Area,Indiranagar,2,855.0,2,1,7240000
814,P1108,3,Carpet Area,Malleshwaram,1,482.0,1,2,2973000
872,P2020,4,Super built-up Area,Bellandur,3,1608.0,3,1,11449000
566,P2288,4,Carpet Area,Koramangala,2,905.0,2,2,5103000
153,P1048,3,Plot Area,Sarjapur Road,3,1500.0,3,1,9400000
202,P3271,4,Built-up Area,Jayanagar,1,504.0,1,2,5785000
891,P1076,4,Built-up Area,Kaggadasapura,4,2331.0,3,2,24794000
862,P2548,4,Carpet Area,Hebbal,2,925.0,2,2,5595000
